Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Chhattisgarh,Bilaspur,1,1,0,0,
2020-04-26,Chhattisgarh,Durg,1,1,0,0,
2020-04-26,Chhattisgarh,Korba,28,24,0,0,
2020-04-26,Chhattisgarh,Raipur,6,5,0,0,
2020-04-26,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-27,Chhattisgarh,Bilaspur,1,1,0,0,
2020-04-27,Chhattisgarh,Durg,1,1,0,0,
2020-04-27,Chhattisgarh,Korba,28,24,0,0,
2020-04-27,Chhattisgarh,Raipur,6,5,0,0,
2020-04-27,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-28,Chhattisgarh,Bilaspur,1,1,0,0,
2020-04-28,Chhattisgarh,Durg,1,1,0,0,
2020-04-28,Chhattisgarh,Korba,28,26,0,0,
2020-04-28,Chhattisgarh,Raipur,6,5,0,0,
2020-04-28,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-28,Chhattisgarh,Surajpur,1,0,0,0,
2020-04-29,Chhattisgarh,Bilaspur,1,1,0,0,
2020-04-29,Chhattisgarh,Durg,1,1,0,0,
2020-04-29,Chhattisgarh,Korba,28,26,0,0,
2020-04-29,Chhattisgarh,Raipur,6,5,0,0,
2020-04-29,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-29,Chhattisgarh,Surajpur,1,0,0,0,
2020-04-30,Chhattisgarh,Bilaspur,1,1,0,0,
2020-04-30,Chhattisgarh,Durg,1,1,0,0,
2020-04-30,Chhattisgarh,Korba,28,28,0,0,
2020-04-30,Chhattisgarh,Raipur,6,5,0,0,
2020-04-30,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-04-30,Chhattisgarh,Surajpur,3,0,0,0,
2020-05-01,Chhattisgarh,Bilaspur,1,1,0,0,
2020-05-01,Chhattisgarh,Durg,1,1,0,0,
2020-05-01,Chhattisgarh,Korba,28,28,0,0,
2020-05-01,Chhattisgarh,Raipur,6,5,0,0,
2020-05-01,Chhattisgarh,Rajnandgaon,1,1,0,0,
2020-05-01,Chhattisgarh,Surajpur,6,0,0,0,
2020-05-02,Chhattisgarh,Bilaspur,1,1,0,0,
2020-05-02,Chhattisgarh,Durg,1,1,0,0,
2020-05-02,Chhattisgarh,Korba,28,28,0,0,
