Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-26,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-26,Madhya Pradesh,Barwani,24,7,0,0,
2020-04-26,Madhya Pradesh,Betul,1,0,0,0,
2020-04-26,Madhya Pradesh,Bhopal,415,104,9,0,
2020-04-26,Madhya Pradesh,Chhindwara,5,0,1,0,
2020-04-26,Madhya Pradesh,Dewas,23,4,6,0,
2020-04-26,Madhya Pradesh,Dhar,36,0,1,0,
2020-04-26,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-26,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-26,Madhya Pradesh,Hoshangabad,32,9,2,0,
2020-04-26,Madhya Pradesh,Indore,1176,107,57,0,
2020-04-26,Madhya Pradesh,Jabalpur,59,7,1,0,
2020-04-26,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-26,Madhya Pradesh,Khargone,61,12,6,0,
2020-04-26,Madhya Pradesh,Mandsaur,9,0,1,0,
2020-04-26,Madhya Pradesh,Morena,13,13,0,0,
2020-04-26,Madhya Pradesh,Other Region,2,0,0,0,
2020-04-26,Madhya Pradesh,Raisen,28,1,0,0,
2020-04-26,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-26,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-26,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-26,Madhya Pradesh,Sheopur,4,2,0,0,
2020-04-26,Madhya Pradesh,Shivpuri,2,2,0,0,
2020-04-26,Madhya Pradesh,Tikamgarh,2,0,0,0,
2020-04-26,Madhya Pradesh,Ujjain,106,5,17,0,
2020-04-26,Madhya Pradesh,Vidisha,13,13,0,0,
2020-04-27,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-27,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-27,Madhya Pradesh,Barwani,24,10,0,0,
2020-04-27,Madhya Pradesh,Betul,1,0,0,0,
2020-04-27,Madhya Pradesh,Bhopal,428,139,12,0,
2020-04-27,Madhya Pradesh,Chhindwara,5,0,1,0,
2020-04-27,Madhya Pradesh,Dewas,24,5,6,0,
2020-04-27,Madhya Pradesh,Dhar,36,0,1,0,
2020-04-27,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-27,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-27,Madhya Pradesh,Harda,1,0,0,0,
2020-04-27,Madhya Pradesh,Hoshangabad,33,9,2,0,
2020-04-27,Madhya Pradesh,Indore,1207,123,60,0,
2020-04-27,Madhya Pradesh,Jabalpur,69,7,1,0,
2020-04-27,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-27,Madhya Pradesh,Khargone,61,12,6,0,
2020-04-27,Madhya Pradesh,Mandsaur,9,0,2,0,
2020-04-27,Madhya Pradesh,Morena,13,13,0,0,
2020-04-27,Madhya Pradesh,Other Region,2,0,0,0,
2020-04-27,Madhya Pradesh,Raisen,33,1,0,0,
2020-04-27,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-27,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-27,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-27,Madhya Pradesh,Sheopur,4,2,0,0,
2020-04-27,Madhya Pradesh,Shivpuri,2,2,0,0,
2020-04-27,Madhya Pradesh,Tikamgarh,2,0,0,0,
2020-04-27,Madhya Pradesh,Ujjain,119,5,17,0,
2020-04-27,Madhya Pradesh,Vidisha,13,13,0,0,
2020-04-28,Madhya Pradesh,Agar Malwa,11,0,1,0,
2020-04-28,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-28,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-04-28,Madhya Pradesh,Barwani,24,14,0,0,
2020-04-28,Madhya Pradesh,Betul,1,0,0,0,
2020-04-28,Madhya Pradesh,Bhopal,458,139,13,0,
2020-04-28,Madhya Pradesh,Burhanpur,1,0,0,0,
2020-04-28,Madhya Pradesh,Chhindwara,5,0,1,0,
2020-04-28,Madhya Pradesh,Dewas,23,6,7,0,
2020-04-28,Madhya Pradesh,Dhar,40,0,1,0,
2020-04-28,Madhya Pradesh,Dindori,1,0,0,0,
2020-04-28,Madhya Pradesh,Gwalior,4,2,0,0,
2020-04-28,Madhya Pradesh,Harda,1,0,0,0,
2020-04-28,Madhya Pradesh,Hoshangabad,34,9,2,0,
2020-04-28,Madhya Pradesh,Indore,1372,134,63,0,
2020-04-28,Madhya Pradesh,Jabalpur,70,7,1,0,
2020-04-28,Madhya Pradesh,Khandwa,36,12,1,0,
2020-04-28,Madhya Pradesh,Khargone,61,12,6,0,
2020-04-28,Madhya Pradesh,Mandsaur,9,0,2,0,
2020-04-28,Madhya Pradesh,Morena,13,13,0,0,
2020-04-28,Madhya Pradesh,Other Region,2,0,0,0,
2020-04-28,Madhya Pradesh,Raisen,45,1,1,0,
2020-04-28,Madhya Pradesh,Ratlam,13,0,0,0,
2020-04-28,Madhya Pradesh,Rewa,2,0,0,0,
2020-04-28,Madhya Pradesh,Sagar,5,1,0,0,
2020-04-28,Madhya Pradesh,Shahdol,2,0,0,0,
2020-04-28,Madhya Pradesh,Shajapur,6,1,0,0,
2020-04-28,Madhya Pradesh,Sheopur,4,2,0,0,
2020-04-28,Madhya Pradesh,Shivpuri,2,2,0,0,
2020-04-28,Madhya Pradesh,Tikamgarh,2,0,0,0,
2020-04-28,Madhya Pradesh,Ujjain,123,5,20,0,
2020-04-28,Madhya Pradesh,Vidisha,13,13,0,0,
2020-04-29,Madhya Pradesh,Agar Malwa,12,0,1,0,
2020-04-29,Madhya Pradesh,Alirajpur,3,0,0,0,
2020-04-29,Madhya Pradesh,Ashoknagar,1,0,1,0,
2020-04-29,Madhya Pradesh,Barwani,24,14,0,0,
2020-04-29,Madhya Pradesh,Betul,1,0,0,0,
