Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Madhya Pradesh,Ujjain,106,5,17,0,
2020-04-27,Madhya Pradesh,Ujjain,119,5,17,0,
2020-04-28,Madhya Pradesh,Ujjain,123,5,20,0,
2020-04-29,Madhya Pradesh,Ujjain,127,5,23,0,
2020-04-30,Madhya Pradesh,Ujjain,138,5,24,0,
2020-05-01,Madhya Pradesh,Ujjain,147,5,25,0,
2020-05-02,Madhya Pradesh,Ujjain,147,5,27,0,
2020-05-03,Madhya Pradesh,Ujjain,156,18,30,0,
2020-05-04,Madhya Pradesh,Ujjain,166,18,35,0,
2020-05-05,Madhya Pradesh,Ujjain,184,26,40,0,
2020-05-06,Madhya Pradesh,Ujjain,184,26,40,0,
2020-05-07,Madhya Pradesh,Ujjain,201,50,42,0,
2020-05-08,Madhya Pradesh,Ujjain,220,57,43,0,
2020-05-09,Madhya Pradesh,Ujjain,227,90,45,0,
2020-05-10,Madhya Pradesh,Ujjain,237,94,45,0,
2020-05-11,Madhya Pradesh,Ujjain,237,96,45,0,
2020-05-12,Madhya Pradesh,Ujjain,264,106,45,0,
2020-05-13,Madhya Pradesh,Ujjain,269,130,45,0,
2020-05-14,Madhya Pradesh,Ujjain,274,142,45,0,
2020-05-15,Madhya Pradesh,Ujjain,284,146,45,0,
2020-05-16,Madhya Pradesh,Ujjain,296,146,47,0,
2020-05-17,Madhya Pradesh,Ujjain,329,148,47,0,
2020-05-18,Madhya Pradesh,Ujjain,343,166,48,0,
2020-05-19,Madhya Pradesh,Ujjain,362,172,48,0,
2020-05-20,Madhya Pradesh,Ujjain,420,176,50,0,
2020-05-21,Madhya Pradesh,Ujjain,481,193,51,0,6015.0
2020-05-22,Madhya Pradesh,Ujjain,504,218,51,0,6162.0
2020-05-23,Madhya Pradesh,Ujjain,531,219,51,0,6366.0
2020-05-24,Madhya Pradesh,Ujjain,553,224,53,0,6514.0
2020-05-25,Madhya Pradesh,Ujjain,575,237,54,0,6514.0
2020-05-26,Madhya Pradesh,Ujjain,601,248,54,0,6785.0
2020-05-27,Madhya Pradesh,Ujjain,614,261,54,0,6785.0
2020-05-28,Madhya Pradesh,Ujjain,639,290,54,0,6785.0
2020-05-29,Madhya Pradesh,Ujjain,658,302,55,0,6785.0
2020-05-30,Madhya Pradesh,Ujjain,660,318,56,0,6785.0
2020-05-31,Madhya Pradesh,Ujjain,670,441,57,0,6785.0
2020-06-01,Madhya Pradesh,Ujjain,688,445,58,0,8069.0
2020-06-02,Madhya Pradesh,Ujjain,692,475,58,0,8264.0
2020-06-03,Madhya Pradesh,Ujjain,694,505,58,0,8543.0
2020-06-04,Madhya Pradesh,Ujjain,698,531,58,0,8799.0
2020-06-05,Madhya Pradesh,Ujjain,707,538,59,0,9076.0
2020-06-06,Madhya Pradesh,Ujjain,719,558,62,0,9366.0
2020-06-07,Madhya Pradesh,Ujjain,725,579,64,0,9366.0
2020-06-08,Madhya Pradesh,Ujjain,737,598,64,0,9908.0
2020-06-09,Madhya Pradesh,Ujjain,743,602,64,0,9908.0
2020-06-10,Madhya Pradesh,Ujjain,745,612,64,0,9908.0
2020-06-11,Madhya Pradesh,Ujjain,759,617,64,0,9908.0
2020-06-12,Madhya Pradesh,Ujjain,769,618,66,0,9908.0
2020-06-13,Madhya Pradesh,Ujjain,777,618,66,0,9908.0
2020-06-14,Madhya Pradesh,Ujjain,792,630,66,0,9908.0
2020-06-15,Madhya Pradesh,Ujjain,801,640,66,0,9908.0
2020-06-16,Madhya Pradesh,Ujjain,819,649,67,0,9908.0
2020-06-17,Madhya Pradesh,Ujjain,822,656,67,0,9908.0
2020-06-18,Madhya Pradesh,Ujjain,826,657,67,0,9908.0
2020-06-19,Madhya Pradesh,Ujjain,831,667,67,0,9908.0
2020-06-20,Madhya Pradesh,Ujjain,835,673,67,0,13824.0
2020-06-21,Madhya Pradesh,Ujjain,839,679,69,0,13824.0
2020-06-22,Madhya Pradesh,Ujjain,844,687,69,0,14785.0
2020-06-23,Madhya Pradesh,Ujjain,848,699,69,0,15163.0
2020-06-24,Madhya Pradesh,Ujjain,849,710,69,0,15163.0
2020-06-25,Madhya Pradesh,Ujjain,850,724,69,0,16298.0
2020-06-26,Madhya Pradesh,Ujjain,853,738,69,0,16916.0
2020-06-27,Madhya Pradesh,Ujjain,856,748,69,0,18126.0
2020-06-28,Madhya Pradesh,Ujjain,856,754,70,0,19111.0
2020-06-29,Madhya Pradesh,Ujjain,856,763,70,0,19340.0
2020-06-30,Madhya Pradesh,Ujjain,859,764,71,0,20204.0
2020-07-01,Madhya Pradesh,Ujjain,859,769,71,0,21278.0
2020-07-02,Madhya Pradesh,Ujjain,862,770,71,0,21835.0
2020-07-03,Madhya Pradesh,Ujjain,863,772,71,0,21835.0
2020-07-04,Madhya Pradesh,Ujjain,864,775,71,0,23265.0
2020-07-05,Madhya Pradesh,Ujjain,866,780,71,0,23265.0
2020-07-06,Madhya Pradesh,Ujjain,869,780,71,0,24685.0
2020-07-07,Madhya Pradesh,Ujjain,869,780,71,0,24685.0
2020-07-08,Madhya Pradesh,Ujjain,871,780,71,0,26764.0
2020-07-09,Madhya Pradesh,Ujjain,872,784,71,0,27629.0
2020-07-10,Madhya Pradesh,Ujjain,876,784,71,0,28508.0
2020-07-11,Madhya Pradesh,Ujjain,880,785,71,0,29304.0
2020-07-12,Madhya Pradesh,Ujjain,887,787,71,0,30203.0
2020-07-13,Madhya Pradesh,Ujjain,896,791,71,0,30737.0
2020-07-14,Madhya Pradesh,Ujjain,909,794,71,0,31796.0
2020-07-15,Madhya Pradesh,Ujjain,921,794,71,0,32555.0
2020-07-16,Madhya Pradesh,Ujjain,927,794,71,0,32555.0
2020-07-17,Madhya Pradesh,Ujjain,942,798,71,0,33943.0
